time_s,T_r,T_jin,T_jout,T_amb,flow_kg_s,Q_calib_W
0.0,20.0061,20.0043,19.9917,21.00,0.0010,0.00
5.0,19.9884,20.0006,20.0059,21.00,0.0010,0.00
10.0,20.0327,20.0011,20.0082,21.00,0.0010,0.00
15.0,20.0446,19.9959,20.0149,21.00,0.0010,0.00
20.0,19.9948,19.9860,20.0235,21.00,0.0010,0.00
25.0,20.0157,19.9846,20.0347,21.00,0.0010,0.00
30.0,20.0521,20.0065,20.0300,21.00,0.0010,0.00
35.0,20.0510,19.9972,20.0546,21.00,0.0010,0.00
40.0,20.0646,19.9940,20.0615,21.00,0.0010,0.00
45.0,20.0554,20.0001,20.0660,21.00,0.0010,0.00
50.0,20.0974,20.0079,20.0748,21.00,0.0010,0.00
55.0,20.1027,20.0018,20.0793,21.00,0.0010,0.00
60.0,20.0958,19.9934,20.1036,21.00,0.0010,0.00
65.0,20.1241,20.0123,20.0893,21.00,0.0010,0.00
70.0,20.1180,20.0158,20.0939,21.00,0.0010,0.00
75.0,20.0984,20.0049,20.0962,21.00,0.0010,0.00
80.0,20.1299,20.0097,20.1000,21.00,0.0010,0.00
85.0,20.1101,20.0124,20.1044,21.00,0.0010,0.00
90.0,20.1536,20.0113,20.1144,21.00,0.0010,0.00
95.0,20.1417,20.0061,20.1290,21.00,0.0010,0.00
100.0,20.1455,20.0060,20.1394,21.00,0.0010,0.00
105.0,20.1421,20.0052,20.1428,21.00,0.0010,0.00
110.0,20.1865,19.9890,20.1407,21.00,0.0010,0.00
115.0,20.1653,20.0070,20.1635,21.00,0.0010,0.00
120.0,20.1661,19.9864,20.1679,21.00,0.0010,0.00
125.0,20.1737,19.9921,20.1648,21.00,0.0010,0.00
130.0,20.1975,20.0130,20.1657,21.00,0.0010,0.00
135.0,20.2002,20.0084,20.1835,21.00,0.0010,0.00
140.0,20.2071,20.0149,20.1856,21.00,0.0010,0.00
145.0,20.2133,19.9973,20.1749,21.00,0.0010,0.00
150.0,20.2533,19.9885,20.1942,21.00,0.0010,0.00
155.0,20.2080,19.9976,20.2030,21.00,0.0010,0.00
160.0,20.2115,20.0010,20.1968,21.00,0.0010,0.00
165.0,20.2111,20.0008,20.2131,21.00,0.0010,0.00
170.0,20.2452,20.0113,20.2019,21.00,0.0010,0.00
175.0,20.2609,19.9964,20.2351,21.00,0.0010,0.00
180.0,20.2414,20.0035,20.2393,21.00,0.0010,0.00
185.0,20.2321,19.9901,20.2294,21.00,0.0010,0.00
190.0,20.2377,20.0045,20.2406,21.00,0.0010,0.00
195.0,20.2723,20.0000,20.2178,21.00,0.0010,0.00
200.0,20.3086,19.9925,20.2431,21.00,0.0010,25.00
205.0,20.3644,19.9976,20.2900,21.00,0.0010,25.00
210.0,20.3971,19.9982,20.3314,21.00,0.0010,25.00
215.0,20.4705,19.9973,20.4011,21.00,0.0010,25.00
220.0,20.5229,20.0177,20.4661,21.00,0.0010,25.00
225.0,20.5788,19.9990,20.4861,21.00,0.0010,25.00
230.0,20.6451,19.9976,20.5407,21.00,0.0010,25.00
235.0,20.6847,19.9790,20.6020,21.00,0.0010,25.00
240.0,20.7457,19.9911,20.6657,21.00,0.0010,25.00
245.0,20.7848,19.9974,20.6867,21.00,0.0010,25.00
250.0,20.8398,19.9931,20.7501,21.00,0.0010,25.00
255.0,20.8966,20.0138,20.8140,21.00,0.0010,25.00
260.0,20.9042,19.9984,20.8267,21.00,0.0010,25.00
265.0,20.9757,20.0129,20.8773,21.00,0.0010,25.00
270.0,21.0209,20.0006,20.9322,21.00,0.0010,25.00
275.0,21.0650,20.0004,20.9770,21.00,0.0010,25.00
280.0,21.1192,19.9991,21.0355,21.00,0.0010,25.00
