time_s,T_r,T_jin,T_jout,T_amb,flow_kg_s,Q_calib_W
0.0,20.5061,19.9772,20.2038,21.00,0.0150,0.00
5.0,20.4493,19.9955,20.3184,21.00,0.0150,0.00
10.0,20.4685,20.0117,20.3180,21.00,0.0150,0.00
15.0,20.4596,20.0460,20.3275,21.00,0.0150,0.00
20.0,20.3908,20.0446,20.3396,21.00,0.0150,0.00
25.0,20.3940,20.0598,20.3130,21.00,0.0150,0.00
30.0,20.4137,20.0510,20.3083,21.00,0.0150,0.00
35.0,20.3968,20.0614,20.3152,21.00,0.0150,0.00
40.0,20.3957,20.0872,20.3188,21.00,0.0150,0.00
45.0,20.3727,20.0933,20.3083,21.00,0.0150,0.00
50.0,20.4017,20.1081,20.3199,21.00,0.0150,0.00
55.0,20.3949,20.1105,20.3140,21.00,0.0150,0.00
60.0,20.3765,20.1248,20.3132,21.00,0.0150,0.00
65.0,20.3942,20.1331,20.3101,21.00,0.0150,0.00
70.0,20.3782,20.1486,20.3281,21.00,0.0150,0.00
75.0,20.3494,20.1581,20.3034,21.00,0.0150,0.00
80.0,20.3722,20.1428,20.2864,21.00,0.0150,0.00
85.0,20.3444,20.1453,20.3238,21.00,0.0150,0.00
90.0,20.3805,20.1864,20.3049,21.00,0.0150,0.00
95.0,20.3617,20.1966,20.3125,21.00,0.0150,0.00
100.0,20.3592,20.1826,20.3267,21.00,0.0150,0.00
105.0,20.3499,20.1821,20.3001,21.00,0.0150,0.00
110.0,20.3890,20.2094,20.3063,21.00,0.0150,0.00
115.0,20.3628,20.2251,20.3057,21.00,0.0150,0.00
120.0,20.3591,20.2409,20.3169,21.00,0.0150,0.00
125.0,20.3626,20.2350,20.3325,21.00,0.0150,0.00
130.0,20.3827,20.2327,20.3367,21.00,0.0150,0.00
135.0,20.3819,20.2338,20.3378,21.00,0.0150,0.00
140.0,20.3858,20.2488,20.3246,21.00,0.0150,0.00
145.0,20.3893,20.2514,20.3194,21.00,0.0150,0.00
150.0,20.4269,20.2497,20.3469,21.00,0.0150,0.00
155.0,20.3795,20.2854,20.3456,21.00,0.0150,0.00
160.0,20.3811,20.2875,20.3589,21.00,0.0150,0.00
165.0,20.3790,20.2854,20.3654,21.00,0.0150,0.00
170.0,20.4117,20.2689,20.3638,21.00,0.0150,0.00
175.0,20.4263,20.2905,20.3742,21.00,0.0150,0.00
180.0,20.4058,20.2917,20.3730,21.00,0.0150,0.00
185.0,20.3958,20.2928,20.3801,21.00,0.0150,0.00
190.0,20.4008,20.3036,20.3719,21.00,0.0150,0.00
195.0,20.4350,20.2998,20.3812,21.00,0.0150,0.00
200.0,20.4417,20.3028,20.3891,21.00,0.0150,0.00
205.0,20.4427,20.3034,20.3993,21.00,0.0150,0.00
210.0,20.4235,20.3018,20.3912,21.00,0.0150,0.00
215.0,20.4466,20.2814,20.4043,21.00,0.0150,0.00
220.0,20.4494,20.3007,20.4004,21.00,0.0150,0.00
225.0,20.4567,20.2944,20.4057,21.00,0.0150,0.00
230.0,20.4750,20.2870,20.4190,21.00,0.0150,0.00
235.0,20.4673,20.3161,20.3944,21.00,0.0150,0.00
240.0,20.4818,20.3156,20.4051,21.00,0.0150,0.00
245.0,20.4750,20.3107,20.4068,21.00,0.0150,0.00
250.0,20.4848,20.2980,20.4018,21.00,0.0150,0.00
255.0,20.4971,20.3070,20.4218,21.00,0.0150,0.00
260.0,20.4608,20.2912,20.4394,21.00,0.0150,0.00
265.0,20.4891,20.2904,20.4323,21.00,0.0150,0.00
270.0,20.4916,20.2744,20.4403,21.00,0.0150,0.00
275.0,20.4937,20.2859,20.4524,21.00,0.0150,0.00
280.0,20.5066,20.2788,20.4578,21.00,0.0150,0.00
285.0,20.5476,20.2610,20.4468,21.00,0.0150,0.00
290.0,20.5060,20.2691,20.4638,21.00,0.0150,0.00
